Date,Delta,Jet Blue,Chevron,Exxon,Adobe,Honeywell,Nvidia,Dexcom
2007-12-31,14.64,5.94,94.37,94.39,42.58,60.89,34.51,8.63
2008-03-31,8.65,5.45,84.95,85.69,35.69,55.72,19.89,4.2
2008-06-30,5.42,3.58,98.3,86.81,39.63,49.26,19.06,6.35
2008-09-30,7.5,4.7,78.85,75.62,36.72,41.55,10.26,6.09
2008-12-31,10.97,6.8,72.9,78.42,20.85,32.61,7.92,2.52
2009-03-31,5.58,3.88,67.44,69.04,20.93,27.99,9.94,4.1
2009-06-30,5.8,4.26,66.94,70.6,28.76,32.3,11.53,6.23
2009-09-30,9.18,5.92,71.12,68.98,32.76,37.29,14.86,8.0
2009-12-31,11.3,5.48,77.72,68.84,37.17,39.71,18.71,8.14
2010-03-31,14.48,5.46,75.47,66.94,35.62,45.63,17.56,9.79
2010-06-30,11.37,5.55,68.22,57.33,26.82,38.59,10.5,11.13
2010-09-30,11.61,6.75,81.69,61.95,26.25,44.35,12.03,13.53
2010-12-31,12.45,6.72,91.58,73.16,30.52,52.94,15.0,13.77
2011-03-31,9.84,6.28,109.31,84.82,32.88,59.61,18.48,15.77
2011-06-30,9.27,6.1,101.79,80.39,31.21,58.79,15.78,14.5
2011-09-30,7.86,4.18,92.96,72.76,24.6,44.0217,12.88,12.3
2011-12-31,8.09,5.25,106.79,85.16,28.26,54.77,13.92,9.36
2012-03-31,10.02,5.0,107.04,86.48,34.69,61.23,15.36,10.61
2012-06-30,11.21,5.32,105.32,84.78,31.74,54.38,13.55,12.93
2012-09-30,9.14,4.88,116.88,91.48,32.65,59.84,13.22,14.9
2012-12-31,11.57,5.57,105.75,85.04,36.8,62.72,12.06,13.22
2013-03-31,16.69,6.95,120.44,90.64,42.54,75.15,12.62,17.07
2013-06-30,18.61,6.3,118.79,89.85,45.99,80.0,14.01,22.57
2013-09-30,23.16,6.6,121.5999,86.06,51.5,82.8,15.42,26.86
2013-12-31,27.23,8.47,124.68,100.49,59.6,90.87,16.0,35.29
2014-03-31,33.75,8.54,118.79,98.49,64.87,91.66,17.93,40.35
2014-06-30,39.18,10.91,130.15,101.21,72.43,93.18,18.31,39.5
2014-09-30,36.01,10.38,120.51,94.11,69.49,93.43,18.44,41.22
2014-12-31,49.58,16.0,111.65,92.42,73.4,100.97,20.4,55.36
2015-03-31,45.58,19.37,105.62,84.85,73.11,104.25,21.41,61.69
2015-06-30,41.68,20.51,97.45,83.74,82.19,102.67,20.24,79.9
2015-09-30,44.72,25.45,77.15,73.4,80.88,93.65,23.93,84.3
2015-12-31,51.0,22.89,89.38,77.51,95.07,104.07,33.34,81.86
2016-03-31,49.37,21.32,95.19,84.07,93.76,112.11,35.92,65.22
2016-06-30,36.26,16.47,103.56,92.33,94.48,115.0,46.73,79.26
2016-09-30,39.15,17.31,101.83,86.84,108.15,116.64,67.77,88.36
2016-12-31,49.34,22.25,117.44,90.03,104.07,116.2,111.35,60.58
2017-03-31,46.12,20.71,107.7,83.26,129.57,125.11,109.01,84.69
2017-06-30,54.0,22.91,104.53,81.08,141.87,133.42,147.38,73.68
2017-09-30,48.4,18.57,117.17,81.94,146.69,139.77,179.08,45.75
2017-12-31,56.53,22.51,125.36,84.0,175.19,154.37,198.46,57.33
2018-03-31,55.31,20.45,115.75,74.0,229.9,147.58,247.75,70.52
