Date,General Electric,Chesapeake Energy,AT&T,Cisco Systems,Campbell Soup
2007-12-31,37.08,39.36,42.12,27.25,35.77
2008-03-31,36.63,45.76,37.71,24.08,33.91
2008-06-30,26.35,66.77,32.75,23.47,33.03
2008-09-30,23.87,33.29,28.35,22.25,38.3
2008-12-31,15.82,15.34,28.19,16.18,29.49
2009-03-31,10.33,17.65,25.44,16.53,27.03
2009-06-30,11.84,19.72,25.14,18.94,29.66
2009-09-30,16.83,28.8,27.34,23.55,32.94
2009-12-31,15.27,26.36,28.29,24.1,34.14
2010-03-31,18.21,23.52,25.9,26.52,35.25
2010-06-30,14.47,21.47,24.35,21.52,35.99
2010-09-30,16.46,22.66,28.78,22.05,36.1
2010-12-31,18.15,25.89,29.36,20.24,34.5
2011-03-31,20.08,34.58,30.63,17.32,33.35
2011-06-30,18.59,29.18,31.39,15.36,34.75
2011-09-30,15.65,26.52,28.73,15.63,32.09
2011-12-31,18.03,22.63,30.1,18.19,33.54
2012-03-31,20.07,23.38,31.32,21.12,33.35
2012-06-30,20.42,18.28,35.7,16.79,32.72
2012-09-30,22.77,18.97,37.91,19.0,34.65
2012-12-31,20.29,16.5,33.13,19.38,34.5
2013-03-31,23.14,20.44,36.69,20.84,44.9
2013-06-30,23.32,20.48,35.55,24.43,44.74
2013-09-30,23.88,25.92,33.78,23.12,40.73
2013-12-31,27.9,27.08,35.17,22.25,43.35
2014-03-31,26.02,25.72,35.3,22.49,44.82
2014-06-30,26.44,30.43,35.4,24.67,45.67
2014-09-30,25.36,23.6,35.26,24.9,42.74
2014-12-31,25.42,19.46,33.98,28.28,44.6
2015-03-31,25.09,13.88,32.97,27.34,46.36
2015-06-30,26.82,11.15,36.03,27.83,47.27
2015-09-30,24.73,6.88,32.36,26.0,51.0
2015-12-31,30.86,4.38,34.56,27.38,53.05
2016-03-31,31.89,3.97,39.42,28.53,64.05
2016-06-30,30.66,4.39,42.69,28.38,62.96
2016-09-30,29.6,6.13,40.91,31.61,54.68
2016-12-31,31.63,7.15,42.76,30.56,60.93
2017-03-31,29.86,5.83,41.79,33.72,57.15
2017-06-30,27.09,5.0,37.73,31.79,52.1
2017-09-30,24.22,4.34,38.95,33.31,47.16
2017-12-31,17.27,4.08,39.22,38.41,48.48
2018-03-31,12.92,3.03,34.85,44.49,42.48
