Country,Life Expectancy,GDP
Afghanistan,58.193749999999994,340.01542546875004
Albania,75.15624999999999,2119.7266788750003
Algeria,73.61874999999999,2847.8533923125
Angola,49.01875,1975.1430451187498
Antigua and Barbuda,75.05624999999999,9759.305728124998
Argentina,75.15624999999999,6998.575103125
Armenia,73.39999999999999,1999.9863176500003
Australia,81.81250000000001,34637.565046874995
Austria,81.48124999999999,33827.47630875
Azerbaijan,70.73124999999999,3302.9478069937504
Bahrain,75.72500000000001,11191.247420625003
Bangladesh,69.3,443.5614810250001
Barbados,74.35625,12017.098529375
Belarus,69.90625,3811.5253479999997
Belgium,80.68124999999999,16915.305999999997
Belize,69.26875,3933.0121744999997
Benin,57.568749999999994,561.167968
Bhutan,66.1625,1353.98694560625
Bosnia and Herzegovina,75.96875000000001,2245.0260235624996
Botswana,56.05,4498.285431187499
Brazil,73.38125,6143.161793500001
Brunei Darussalam,76.48750000000001,19744.808101874998
Bulgaria,72.85,4938.981821375001
Burkina Faso,55.64374999999999,410.3720343125
Burundi,55.537499999999994,137.81532131875
Cabo Verde,72.51875,2023.54103925
Cambodia,64.34375,466.19687804999995
Cameroon,54.01875,781.0160044124999
Canada,81.6875,29382.907523125003
Central African Republic,48.51250000000001,363.05590484999993
Chad,50.3875,484.7916940562499
Chile,79.44999999999999,6202.344363562499
China,74.2625,2345.3031576875
Colombia,73.28750000000001,3321.6607483124994
Comoros,61.581250000000004,630.38433406875
Costa Rica,78.59374999999999,3957.22728625
Croatia,76.11875,9056.7847190625
Cuba,77.97500000000001,3180.4348844375
Cyprus,79.675,13898.88550125
Denmark,79.25625000000001,33067.407915625
Djibouti,60.75625,897.9998706499999
Dominican Republic,72.34374999999999,3509.4991863125
Ecuador,74.72500000000001,2005.3524679375
El Salvador,71.74375,2517.8346304375
Equatorial Guinea,55.3125,7902.4107885625
Eritrea,59.525,259.3953562916667
Estonia,74.94375,8340.4329494375
Ethiopia,59.11250000000001,264.97094995000003
Fiji,68.7125,2947.6126888750005
Finland,80.7125,25268.649758125
France,82.21875,26465.551380625
Gabon,62.243750000000006,5179.2561886250005
Georgia,73.50625,2158.2808692812496
Germany,81.175,24337.749100000005
Ghana,60.8625,834.3761008125001
Greece,81.21875,16454.23587
Grenada,73.29375,6259.5172613125
Guatemala,71.73125,2365.83447375
Guinea,56.0125,279.46479789375
Guinea-Bissau,55.36875,384.2149305312501
Guyana,65.6375,1783.8809370625002
Haiti,59.868750000000006,434.36012815000004
Honduras,72.99374999999999,1421.7880825000002
Hungary,73.82499999999999,8513.641831249997
Iceland,82.44375000000001,30159.502907500006
India,65.41874999999999,837.9200509125001
Indonesia,67.55625,1669.116783075
Iraq,70.26666666666667,3542.5575372499993
Ireland,80.15,33835.272005
Israel,81.3,18860.476015624998
Italy,82.1875,21234.782370625006
Jamaica,74.29375,2509.5464696249996
Japan,82.5375,24892.544784375
Jordan,72.9875,1822.6299256249997
Kazakhstan,66.7625,4040.586664374999
Kenya,57.481249999999996,716.77006788125
Kiribati,65.14999999999999,1175.29241553125
Kuwait,73.84375000000001,31914.378339374998
Latvia,73.73125,7951.824896624999
Lebanon,74.2,4696.1923789375005
Lesotho,48.78124999999999,794.5230103125001
Liberia,57.525,246.28174803125006
Libya,72.40833333333333,4598.161975416667
Lithuania,72.80624999999999,9007.4586225
Luxembourg,80.78125,53257.012740624996
Madagascar,62.74375,314.04132958124995
Malawi,49.893750000000004,237.50404201875
Malaysia,73.75625000000001,4904.9389918125
Maldives,75.5375,3818.2969615624997
Mali,54.9375,530.5121700999999
Malta,80.36250000000001,10114.797943125002
Mauritania,62.8,635.04960900625
Mauritius,72.7125,5299.579823624998
Mexico,75.71874999999999,5179.33080675
Mongolia,65.8875,1984.6880227125002
Montenegro,74.5,4676.5142774999995
Morocco,72.15624999999999,1936.3914383750002
Mozambique,53.393750000000004,365.06823808125
Myanmar,64.2,616.18435734375
Namibia,60.400000000000006,3042.6035070000003
Nepal,66.48125,395.32846794375007
Netherlands,81.13125,34964.719796875
New Zealand,81.33749999999999,14775.554806874998
Nicaragua,73.45,957.9039710624999
Niger,56.98125,259.782440975
Nigeria,51.35625000000001,1360.1398774687502
Norway,81.79375,27434.946928125
Oman,74.84375,7621.311126875001
Pakistan,64.5,666.11105159375
Panama,76.4875,5417.768890249999
Papua New Guinea,61.6,758.0976163466668
Paraguay,73.1125,1983.4043354375003
Peru,73.66250000000001,2928.5435416249998
Philippines,67.57499999999999,1397.1361066875002
Poland,75.65,6792.5636004375
Portugal,79.99375,11598.625531249998
Qatar,77.03125,40748.44410437502
Romania,74.05000000000001,4258.9400543125
Russian Federation,67.76249999999999,6545.137358999999
Rwanda,59.3125,300.01801709374996
Samoa,73.61875,2121.6206485000002
Sao Tome and Principe,65.33333333333333,771.0348342533331
Saudi Arabia,73.46875,10689.052945812498
Senegal,62.56875,274.61116614375004
Serbia,73.95625,3674.5424077625007
Seychelles,72.37500000000001,6496.302397062499
Sierra Leone,46.1125,271.50556128125004
Singapore,81.47500000000001,32790.105906875004
Slovenia,79.73125,11441.044377499999
Solomon Islands,67.7125,801.9123831749998
Somalia,54.5,297.47334513333334
South Africa,57.49999999999999,4869.4270436874995
South Sudan,55.575,1092.233630625
Spain,82.06875,17093.459736875
Sri Lanka,73.4,1040.110189675
Sudan,61.825,1192.7979534312497
Suriname,70.08125,4781.216821937499
Swaziland,51.324999999999996,2165.0908375000004
Sweden,82.51875,29334.990639375
Switzerland,82.33125,57362.874601250005
Syrian Arab Republic,73.16250000000001,1087.435773875
Tajikistan,66.65625,335.84172523125017
Thailand,73.08125,3494.781701625
Timor-Leste,64.75625,551.7106493125001
Togo,56.66250000000001,317.20409206875007
Tonga,72.53124999999999,1981.5551861874999
Trinidad and Tobago,71.06875,7741.748090062502
Tunisia,74.35625000000002,3044.081488375
Turkey,73.9125,3983.9177217499996
Turkmenistan,64.61874999999999,2511.6115398624997
Uganda,55.70625,421.04849634374995
Ukraine,69.9375,1577.293328625
United Arab Emirates,75.7,22110.366986250003
Uruguay,76.075,7192.5848745
Uzbekistan,68.03125,651.0923589312499
Vanuatu,71.38749999999999,2000.2455181250002
Zambia,53.90624999999999,811.8118405187499
Zimbabwe,50.48749999999999,410.98019376875
