"","words","favorites","follows","reviews","language","rating","multiple","english","romance","humor","harry","hermione","ron"
"6",1800,9,10,6,"English","T",1,1,0,0,0,0,0
"9",1019,37,8,7,"English","K+",0,1,0,0,0,1,0
"15",2559,1,4,2,"English","T",1,1,1,0,0,0,0
"21",7362,30,17,16,"English","T",0,1,0,0,1,0,0
"25",8947,36,13,24,"English","T",1,1,1,1,0,0,0
"35",3703,12,3,1,"English","T",0,1,0,0,1,0,0
"36",9111,31,20,17,"English","T",1,1,1,0,1,0,0
"46",2638,24,3,5,"English","T",0,1,1,0,0,0,0
"48",1054,3,4,1,"Spanish","K",0,0,0,0,1,0,0
"49",1278,8,5,12,"English","T",1,1,0,1,0,1,0
"51",6192,6,7,11,"English","M",1,1,1,0,0,0,0
"58",9623,11,4,19,"English","K+",1,1,0,1,0,0,0
"60",1919,6,3,2,"Spanish","K+",0,0,0,0,1,1,0
"81",7576,8,3,29,"Portuguese","T",1,0,1,0,0,0,0
"84",3718,18,32,13,"English","K+",1,1,0,0,0,0,0
"87",2999,35,4,12,"English","K+",0,1,0,1,1,0,0
"96",2001,1,12,7,"English","M",1,1,1,1,0,1,0
"108",5164,17,22,10,"English","M",1,1,1,0,1,0,0
"110",5348,9,16,9,"English","K+",1,1,0,0,0,0,0
"111",1618,8,4,2,"English","K",0,1,0,0,0,0,0
"112",1625,15,5,5,"English","T",0,1,0,0,1,0,0
"114",3132,4,5,4,"English","K+",1,1,1,0,0,0,0
"125",3859,3,5,10,"English","T",1,1,1,1,0,0,0
"127",7921,7,3,6,"English","T",1,1,0,1,0,0,0
"128",3259,14,17,21,"English","T",1,1,1,0,1,0,0
"136",2837,4,7,13,"French","M",1,0,1,0,0,0,0
"148",2172,15,4,7,"English","K+",0,1,1,0,0,0,0
"163",2859,20,16,5,"Spanish","K",0,0,1,0,0,1,0
"179",1313,7,3,7,"English","T",0,1,0,1,0,0,0
"180",6083,21,5,1,"English","T",0,1,0,0,1,0,0
"184",6979,3,8,8,"English","T",1,1,0,0,1,0,0
"189",4707,1,3,3,"Spanish","T",1,0,1,0,0,0,0
"197",3732,13,3,8,"English","T",0,1,1,0,0,0,0
"203",2647,35,10,30,"English","K+",0,1,0,1,0,0,0
"206",1430,29,7,19,"English","T",0,1,0,0,0,0,0
"208",9675,6,11,5,"English","M",1,1,1,0,0,0,0
"209",1901,6,10,1,"English","M",0,1,1,0,0,1,0
"225",1353,30,7,15,"English","T",0,1,1,0,0,0,0
"233",1291,14,4,8,"English","M",0,1,0,0,1,0,0
"234",5560,6,6,11,"Spanish","T",1,0,1,0,0,0,0
"235",5036,22,7,3,"English","T",1,1,1,0,1,0,0
"247",9634,25,19,18,"English","K+",1,1,1,0,0,1,1
"255",2317,40,7,15,"English","T",0,1,1,1,0,1,0
"257",2217,21,7,9,"French","K+",0,0,1,1,0,0,1
"261",2174,4,7,2,"English","M",0,1,1,0,0,1,0
"264",8834,17,5,41,"Spanish","K",1,0,1,0,0,0,0
"265",4504,5,7,3,"English","M",1,1,1,0,0,0,0
"266",1019,10,4,7,"English","K+",0,1,1,0,0,0,0
"272",1537,25,15,39,"English","K+",1,1,1,1,0,0,0
"280",6482,24,9,7,"French","M",1,0,1,1,0,1,0
"290",2101,6,11,18,"English","T",1,1,1,0,0,0,0
"295",2028,17,5,4,"Spanish","M",0,0,1,0,1,0,0
"298",8214,25,33,15,"French","K+",0,0,0,0,1,0,0
"301",2148,5,4,9,"English","T",0,1,1,0,1,1,0
"308",3861,24,40,50,"English","T",0,1,1,0,0,0,0
"311",4352,30,14,18,"English","T",1,1,1,0,1,0,0
"317",1355,8,13,3,"English","M",0,1,1,0,0,0,0
"320",5374,2,7,2,"English","M",1,1,0,0,1,0,0
"324",2717,3,6,1,"English","T",0,1,1,0,0,0,0
"329",2393,13,4,2,"French","T",0,0,1,1,1,0,0
"339",4292,2,5,10,"Spanish","K",1,0,0,0,0,1,0
"346",8583,14,28,21,"English","M",1,1,1,0,0,0,0
"358",8930,10,14,9,"Spanish","M",1,0,1,0,1,0,0
"359",4836,12,10,6,"English","K+",1,1,1,0,1,0,0
"370",4124,21,24,12,"English","K+",1,1,1,0,1,0,0
"374",2719,5,5,4,"Portuguese","K+",1,0,0,0,0,0,0
"382",2176,24,19,10,"English","K+",1,1,0,0,1,0,0
"386",4322,9,5,3,"English","T",0,1,1,0,0,0,0
"388",1682,21,11,19,"English","T",0,1,0,0,0,0,0
"409",4022,40,11,7,"English","T",0,1,1,1,1,1,0
"412",3074,3,3,6,"Spanish","K",0,0,0,0,0,0,0
"428",1665,36,4,33,"English","K+",0,1,1,0,0,1,0
"432",3782,38,8,21,"English","M",0,1,1,0,1,1,0
"444",1710,26,3,8,"Spanish","K+",0,0,1,0,1,0,0
"448",2243,15,7,10,"English","K+",0,1,0,0,0,1,0
"457",3392,3,13,4,"English","T",1,1,1,0,0,0,0
"460",3879,6,4,11,"French","K+",1,0,1,0,1,1,0
"471",5950,11,16,31,"English","T",1,1,1,1,1,1,0
"476",1608,4,3,3,"English","T",0,1,1,0,0,0,0
"484",2616,2,3,5,"English","M",1,1,1,0,0,0,0
"490",1299,14,7,4,"Spanish","K+",0,0,1,1,0,0,0
"493",9734,10,20,16,"English","T",1,1,1,0,0,0,0
"497",5876,10,30,31,"English","T",1,1,1,1,0,1,0
"498",1063,6,4,10,"English","K+",0,1,1,0,0,0,0
"499",2372,4,5,18,"French","K",0,0,1,0,0,0,0
