time_seconds,age,browser
486.0,47.1,Safari
645.7,64.6,Chrome
345.0,45.4,Safari
413.4,34.4,Chrome
426.4,31.3,Safari
242.1,37.5,Safari
439.5,28.8,Chrome
365.9,35.2,Safari
276.5,43.4,Safari
548.9,64.2,Chrome
537.9,41.6,Chrome
379.4,38.9,Safari
384.7,45.8,Chrome
612.5,62.4,Chrome
268.7,25.3,Safari
251.5,41.2,Safari
448.0,34.5,Chrome
414.7,39.5,Chrome
538.2,43.5,Chrome
371.9,39.6,Safari
253.7,31.9,Safari
208.8,28.7,Safari
303.6,43.0,Safari
559.6,52.7,Chrome
435.4,54.8,Safari
523.4,44.8,Chrome
479.2,50.2,Safari
445.5,49.5,Chrome
397.6,34.3,Chrome
456.7,49.9,Safari
389.7,32.6,Safari
361.4,40.9,Chrome
277.1,20.5,Safari
384.6,36.1,Safari
474.8,61.3,Chrome
468.7,41.4,Chrome
509.3,39.8,Chrome
452.4,43.3,Chrome
557.4,49.4,Safari
388.1,57.4,Safari
535.7,54.3,Chrome
454.5,43.5,Safari
489.9,46.2,Safari
292.7,26.2,Safari
561.7,40.7,Chrome
536.1,47.6,Chrome
321.3,48.2,Chrome
271.9,28.2,Safari
571.1,47.4,Chrome
349.3,42.2,Safari
508.4,46.6,Chrome
630.1,67.2,Chrome
535.2,57.8,Safari
386.2,26.6,Safari
456.3,45.9,Safari
565.0,60.5,Safari
429.8,56.6,Safari
575.4,50.1,Chrome
578.1,66.5,Safari
374.5,42.8,Chrome
637.0,56.8,Chrome
619.7,53.8,Chrome
585.6,34.5,Chrome
575.4,48.9,Safari
259.9,17.5,Safari
553.4,60.5,Safari
476.7,50.0,Chrome
412.1,51.2,Safari
477.6,51.1,Chrome
440.8,40.7,Safari
386.5,29.2,Safari
418.7,42.2,Chrome
501.1,53.2,Safari
542.0,46.2,Safari
505.9,55.9,Safari
267.9,30.7,Safari
492.8,48.2,Chrome
385.1,43.5,Safari
421.1,57.8,Safari
486.2,55.7,Chrome
284.4,41.6,Safari
390.6,44.7,Safari
498.2,56.0,Chrome
332.9,36.5,Chrome
358.4,34.8,Safari
247.4,32.1,Chrome
414.4,45.6,Chrome
394.3,39.5,Safari
399.3,35.4,Safari
444.3,38.1,Chrome
451.9,54.5,Chrome
248.2,30.0,Safari
415.5,53.7,Chrome
437.3,44.9,Chrome
713.6,80.7,Chrome
456.7,43.5,Chrome
619.1,60.2,Chrome
364.3,45.1,Safari
385.3,23.4,Safari
271.7,38.6,Safari
